feature,importance_mean,importance_se
tqwt_kurtosisValue_dec_34,0.23182754484143983,0.02502215337805001
tqwt_skewnessValue_dec_17,0.22944442864412432,0.1053830047278808
GNE_SNR_TKEO,0.22922139250598153,0.019480973329798652
mean_6th_delta,0.22575182507199903,0.02626401049701023
tqwt_medianValue_dec_16,0.22446020581674525,0.05612015508775918
tqwt_kurtosisValue_dec_8,0.21947426139471166,0.019745049221684796
tqwt_medianValue_dec_27,0.21926885161722046,0.034421834217272025
tqwt_medianValue_dec_21,0.21754529781914916,0.05627095520046575
tqwt_kurtosisValue_dec_24,0.21713595037235386,0.05008783270982673
mean_6th_delta_delta,0.21309362813172913,0.01492035602615389
tqwt_skewnessValue_dec_29,0.21141470855020392,0.017286156485238076
tqwt_meanValue_dec_1,0.21140722195659323,0.05554096568129911
tqwt_meanValue_dec_14,0.20988206946806662,0.028485275035817843
IMF_NSR_TKEO,0.20842442397650926,0.04201825137021242
tqwt_meanValue_dec_17,0.2064638650044884,0.04074621266088006
GNE_NSR_SEO,0.2059975072099894,0.03696396165519438
tqwt_skewnessValue_dec_20,0.20537453603924968,0.02050533574872876
tqwt_kurtosisValue_dec_28,0.20427621872327614,0.014387351872408232
tqwt_TKEO_mean_dec_31,0.20401733483191792,0.026091073005847024
mean_8th_delta,0.20265277866642717,0.017954140130990715
std_MFCC_4th_coef,0.20033663619615538,0.008976345574116895
IMF_SNR_entropy,0.19964650411625004,0.022773563160990638
mean_11th_delta_delta,0.19797510706858096,0.01908534184103028
apq11Shimmer,0.1968302600601109,0.01932141923630128
tqwt_energy_dec_11,0.19549449154504833,0.030361899737820264
tqwt_skewnessValue_dec_22,0.19512820792525926,0.017009551853684343
tqwt_skewnessValue_dec_23,0.19472748905070608,0.0871698031791618
GQ_prc5_95,0.19429514035509826,0.038430263021495235
tqwt_skewnessValue_dec_32,0.19249918699473942,0.017277686254567704
mean_delta_delta_log_energy,0.19066112132866525,0.015437751445755056
tqwt_medianValue_dec_1,0.18773896179165034,0.0543624539072807
tqwt_meanValue_dec_32,0.18573588847659656,0.04824574629263434
std_4th_delta_delta,0.18550909605840604,0.004450059216414978
tqwt_medianValue_dec_32,0.184937118852278,0.029042848117647124
tqwt_meanValue_dec_18,0.18460309307045294,0.05105068181156119
